Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Masculino;Si;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 101 y 250;Nacional;2;Jefe;Full time;Generalista;1;2;15;160000;Medicina prepaga / Plan de salud, Vacaciones extendidas;Un sueldo;2 ajustes;8;Agosto;No;Tango;Recursos Humanos;Si, está permitido;No;0%;1900;3;No,  pero escucho ofertas;horario flexible;complicada;por que me quieren contratar a mi;No;;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;Psicología;Universidad Privada;Paraguay;;Relación de Dependencia;Construcción;Entre 251 y 500;Nacional;3;Jefe;Full time;Administración de personal;1;2;7;7000000;Horarios flexibles, Préstamos;No recibo bono;1 solo;25;Septiembre;No;Unisoft;Recursos Humanos;Si, está permitido;No;0%;6;3;No,  pero escucho ofertas;almuerzo;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;Motriz;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Salta;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;No;No;Si, eventualmente;Si;Si;Si;Si;100;Remuneración mensual del ingresante;2 meses;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de consultoría;Entre 501 y 1.000;Nacional;700;Analista;Full time;Reclutamiento y selección;0;6;10;75000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;5;Agosto;No;Enlatado propio;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;No;Transferencia a tu cuenta;No;Si;Si;No;No;40000;Remuneración mensual del ingresante;3 meses;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 51 y 100;Nacional;2;Analista;Full time;Reclutamiento y selección;0;0;10;85000;Medicina prepaga / Plan de salud, Frutas y snacks, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;500;1;Sí, activamente;Buen ambiente laboral;Gestion;a que jugabas de chiquito?;Si;Computadora / Laptop;1;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 501 y 1.000;Nacional;10;HRBP;Full time;Generalista;0;5;11;120000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Gimnasio, Frutas y snacks, Abono de celular, Home office;No recibo bono;2 ajustes;30;Octubre;No;RH Pro;People;Si, está permitido;No;30%;30000;3;Sí, activamente;Bono, LTI, Prestamos con bajo interes, Formacion;Personas;¿Puedo pasar con mi mamá? (juro!);Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Soporte, teclado, mousse, monitor;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 251 y 500;Nacional;7;Analista;Full time;Capacitación y desarrollo;0;0;10;77000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Frutas y snacks, Abono de celular, Préstamos, Idiomas, Home office, Comedor / Almuerzos;Menos de un sueldo;2 ajustes;17;Agosto;Si, en proyectos ad honorem;Enlatado propio;Capital Humano;Si, está permitido;No;20%;3500;4;No,  pero escucho ofertas;;;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Silla ergonómica, Kit sanitizante;5;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría completa;Administración de Empresas;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 1.001 y 2.500;Multinacional;12;Director;Full time;Generalista;5;12;15;338000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Combustible, Home office, auto corporativo;Dos sueldos;3 o más ajustes;12;Julio;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;Si;60%;15000;4;No,  pero escucho ofertas;Tiempo para proyectos indipendentes;Central;con que animal te compararias?;Si;Computadora / Laptop;5;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Más de 10.000;Nacional;30;HRBP;Full time;Generalista;0;0;3;180000;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Home office, Comedor / Almuerzos;No recibo bono;1 solo;40;Junio;Si, en emprendimiento relacionado con RRHH;SAP / SuccessFactors;Desarrollo humano;Si, está permitido;No;0%;8500;4;No,  pero escucho ofertas;Bonos por proyectos;Transformación;N/a;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Masculino;No;Entre 46 y 50;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Nacional;5;Director;Full time;Generalista;4;0;28;250000;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Abono de celular, Combustible, Idiomas, Home office;Dos sueldos;No tuve ajustes;0;;Si, en emprendimiento no relacionado con RRHH;Jira;Recursos Humanos;Si, está permitido;Si;40%;6000;3;No,  pero escucho ofertas;Menos horas de trabajo ;Surfear;Nada raro / una lástima ;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 501 y 1.000;Nacional;10;Analista;Full time;Generalista;0;1;6;60000;Medicina prepaga / Plan de salud, Frutas y snacks, Abono de celular, Home office;No recibo bono;1 solo;22;Febrero;No;No tenemos sistema de gestión;People;Si, está permitido;No;0%;100;3;No,  pero escucho ofertas;-;Tempestades;Cuántas monedas entran en esta habitación;Si;Computadora / Laptop, Silla ergonómica;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;México;;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SA;2;Casa;No;Transferencia a tu cuenta;No;No;Si;No;No;18000;Remuneración mensual del ingresante;2 meses;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Entre 251 y 500;Multinacional;6;Analista;Full time;Payroll / Liquidación de sueldos;2;1;3;57000;Medicina prepaga / Plan de salud, Frutas y snacks, Seguro de vida (adicionales a los de ley), Préstamos, Posgrados, Idiomas;No recibo bono;1 solo;17;Agosto;No;RH Pro;Recursos Humanos;Si, está permitido;No;10%;950;3;No,  pero escucho ofertas;Pago servicios telefonía, streaming, bonos;Necesaria;;Si;Computadora / Laptop, Silla ergonómica;3;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Entre 51 y 100;Multinacional;8;Responsable;Full time;Payroll / Liquidación de sueldos;0;0;4;74000;Medicina prepaga / Plan de salud, Abono de celular, Idiomas, Home office;No recibo bono;No tuve ajustes;50;Octubre;No;Axton;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;Contador Público;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;3;Responsable;Full time;Administración de personal;1;10;8;120000;Medicina prepaga / Plan de salud, Frutas y snacks, Préstamos, Posgrados, Comedor / Almuerzos;Menos de un sueldo;No tuve ajustes;20;Agosto;Si, en emprendimiento no relacionado con RRHH;bejerman y tango;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 2.501 y 5.000;Nacional;12;Analista;Full time;Administración de personal;0;1;1;30.000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;50;Abril;No;Enlatado propio;Oficina de Personal;Si, está permitido;No;0%;1500;1;Sí, activamente;Remuneración acorde al puesto de trabajo, capacitaciones, charter, servicio de comedor en la organizacion, desarrollo de carrera, y mas.;Personas;¿Cuales son tus fortalezas y debilidades? Me lo preguntan siempre ;;;;;;;;;;;;;;;;;;
;No;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 51 y 55 años;Prefiero no responder;Universitario abandonado;Arquitectura;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Hasta 51;Multinacional;0;Jefe;Full time;Aaa;0;3;0;60000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Combustible, Home office, Charter / Servicio de transporte;No recibo bono;No tuve ajustes;0;;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;;7300;3;No,  pero escucho ofertas;Mayor ingreso;Crecer;Edad;Si;Computadora / Laptop, Abono de celular;2;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Educación;Entre 1.001 y 2.500;Nacional;15;HRBP;Full time;Generalista;0;1;6;75000;Vacaciones extendidas, Gimnasio, Seguro de vida (adicionales a los de ley), Reintegros en capacitación, Comedor / Almuerzos;Dos sueldos;2 ajustes;29;Septiembre;No;Enlatado propio;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 51 y 55 años;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Chile;;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Transporte (incluyendo aviación civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;7;Analista;Full time;Administración de personal;0;0;6;70000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Idiomas, Home office;No recibo bono;2 ajustes;39;Octubre;No;No tenemos sistema de gestión;;Si, está permitido;Si;30%;5000;4;No estoy buscando cambiar;+ días de vacaciones, bono por cumplimiento de objetivos;Empatia;;Si;Computadora / Laptop;1;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 251 y 500;Nacional;11;Analista;Plazo Fijo;Payroll / Liquidación de sueldos;1;6;11;115000;Medicina prepaga / Plan de salud, Vacaciones extendidas;No recibo bono;No tuve ajustes;7;Octubre;Si, en proyectos ad honorem;Tango;Recursos Humanos;Si, está permitido;No;10%;150;3;No,  pero escucho ofertas;Home Office;Personas;"""Remuneración bruta pretendida?""";Si;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Educación;Entre 101 y 250;Nacional;4;Responsable;Plazo Fijo;Generalista;3;20;10;85000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Oficina de Personal;No, está prohibido;No;0%;250;4;No,  pero escucho ofertas;;HUMANOS;;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 46 y 50;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Función pública;Entre 1.001 y 2.500;Nacional;20;Asesor;Full time;Generalista;0;4;25;165000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;;900;1;Sí, activamente;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Más de 10.000;Multinacional;400;Analista;Full time;Generalista;0;1;2;52500;Medicina prepaga / Plan de salud, Tarjeta de descuento, Gimnasio, Frutas y snacks, Seguro de vida (adicionales a los de ley), Abono de internet, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;Menos de un sueldo;1 solo;25;Septiembre;No;Workday;Recursos Humanos;Si, está permitido;Si;100%;50;2;No,  pero escucho ofertas;Ajustes de inflacion acorde. Pagos variables. Reestructuracion de beneficios acorde al HO;Cambio;;Si;Computadora / Laptop, Abono de internet;2;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Función pública;Entre 101 y 250;Nacional;3;Gerente;Full time;Diseño organizacional;80;1;7;110600;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Diciembre;No;Tango;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;Ing. Financiera;Universidad Privada;Bolivia;;Relación de Dependencia;Educación;Hasta 51;Nacional;1;Administrativo;Part time;Administración de personal;0;7;7;3500;No tengo beneficios adicionales, Horarios flexibles;No recibo bono;No tuve ajustes;0;Septiembre;Si, en emprendimiento no relacionado con RRHH;No tenemos sistema de gestión;Administración ;Si, está permitido;No;10%;90;2;Sí, activamente;Horarios flexibles para atender a mis hijos;Humanidad;Cuando quieres tener hijos;No;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Masculino;Si;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Relaciones Públicas ;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Entre 251 y 500;Multinacional;4;Responsable;Full time;Compensaciones y beneficios;0;3;8;96300;Medicina prepaga / Plan de salud, Vacaciones extendidas, Frutas y snacks, Abono de internet, Idiomas, Servicio de médico a domicilio a cargo de la compañía;No recibo bono;3 o más ajustes;51;Agosto;Si, en proyectos ad honorem;No tenemos sistema de gestión;People;Si, está permitido;No;10%;1200;5;No,  pero escucho ofertas;;;;Si;Computadora / Laptop, Silla ergonómica, Abono de internet;5;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría completa;Contador Público;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Entre 251 y 500;Nacional;3;Jefe;Full time;Generalista;2;10;15;120000;Vacaciones extendidas, Gimnasio, Frutas y snacks, Reintegros en capacitación, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;No, está prohibido;No;0%;500;4;No estoy buscando cambiar;;;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Paraguay;;Relación de Dependencia;Industrias químicas;Entre 251 y 500;Nacional;8;Analista;Full time;Administración de personal;0;4;11;5500000;Tarjeta de descuento, Préstamos;Un sueldo;1 solo;14;Julio;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;0%;0;4;No,  pero escucho ofertas;seguro privado ;compromiso entrega;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Abono de celular;5;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 251 y 500;Multinacional;12;Analista;Full time;Reclutamiento y selección;0;0;3;49000;Medicina prepaga / Plan de salud, Frutas y snacks, Idiomas, Home office;No recibo bono;1 solo;20;Septiembre;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;10%;2100;3;No,  pero escucho ofertas;3 semanas de vacaciones, más días de Home Office;Servicio;;Si;Computadora / Laptop, Silla ergonómica;2;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Comercio;Entre 2.501 y 5.000;Multinacional;17;Analista;Full time;Capacitación y desarrollo;0;3;10;53.346;Medicina prepaga / Plan de salud, Tarjeta de descuento;Menos de un sueldo;1 solo;0;Marzo;No;Enlatado propio;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Contador Público;Universidad Pública;Paraguay;;Relación de Dependencia;Transporte marítimo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Paraguay;;Relación de Dependencia;Bancos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Corrientes;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 5.001 y 10.000;Nacional;12;Analista;Full time;Administración de personal;0;7;1;43000;Vacaciones extendidas, Seguro de vida (adicionales a los de ley), Reintegros en capacitación, Home office;No recibo bono;1 solo;10;Julio;Si, en emprendimiento relacionado con RRHH;sql;Recursos Humanos;Si, está permitido;No;0%;6700;4;No,  pero escucho ofertas;capacitaciones;impulso;decime un prejuicio que tengas;Voy rotando entre la oficina y el trabajo;Kit sanitizante;4;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Paraguay;;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;3;Responsable;Full time;Generalista;2;1;5;5000000;Tarjeta de descuento, Frutas y snacks, Abono de celular, Combustible;No recibo bono;No tuve ajustes;0;;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;;500;2;Sí, activamente;Un ambiente donde pueda desarrollar ideas en equipo y que tenga un manejo transparente.;Estrategia;No me mencionaron nada.;No;;1;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Hasta 51;Nacional;18;HRBP;Full time;Reclutamiento y selección;0;0;0;30000;No tengo beneficios adicionales;Menos de un sueldo;No tuve ajustes;0;Febrero;No;Enlatado propio;Recursos Humanos;Si, está permitido;Si;20%;550;3;No estoy buscando cambiar;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario completo;Psicología social ;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;Entre 101 y 250;Nacional;4;Responsable;Full time;Reclutamiento y selección;3;5;4;40009;Medicina prepaga / Plan de salud, Frutas y snacks;Menos de un sueldo;1 solo;15;Septiembre;Si, en proyectos ad honorem;Enlatado propio;Capital Humano;Si, está permitido;No;0%;50;2;Sí, activamente;Mejores condiciones laborales y posibilidad de desarrollo. ;Base;Si pensaba tener hijos ;No;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 1.001 y 2.500;Nacional;60;Responsable;Full time;Reclutamiento y selección;2;6;6;79000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Préstamos, Home office;Menos de un sueldo;No tuve ajustes;20;Junio;Si, en proyectos ad honorem;Meta4;Recursos Humanos;Si, está permitido;No;0%;1000;4;No,  pero escucho ofertas;pago de carrera de posgrado/maestria;servicio;Me postulé para un puesto que requería hablar portugués, la entrevistadora no dominaba el idioma. Lo intentó pero le salía mitad portuñol mitad inglés. Fué raro, la tuve que remar.;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;2;Casa;No;No;No;No;Si;Si;Si;25;Remuneración mensual del ingresante;3 meses;;
Género diverso (género diverso / género fluido /otras minorías);Prefiero no responder;Entre 36 y 40;Prefiero no responder;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Medios de comunicación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 1.001 y 2.500;Nacional;19;Analista;Full time;Administración de personal;0;3;3;70000;Medicina prepaga / Plan de salud;No recibo bono;2 ajustes;20;Septiembre;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0%;36;3;No,  pero escucho ofertas;Capacitaciones;Gestion ;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;1;;;;;;;;;;;;;;;
